City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Yarada,IN,2022-05-17 03:19:18,17.65,83.2667,88.12,74,40,4.61
170,Ucluelet,CA,2022-05-17 03:19:19,48.9329,-125.5528,50.09,80,73,4.05
171,Nizhniy Kuranakh,RU,2022-05-17 03:19:19,58.8353,125.4869,39.36,80,100,6.17
172,Madang,PG,2022-05-17 03:19:20,-5.2246,145.7966,86.0,62,20,6.35
173,Saldanha,ZA,2022-05-17 03:19:20,-33.0117,17.9442,60.96,77,54,4.23
174,Sao Filipe,CV,2022-05-17 03:19:21,14.8961,-24.4956,74.21,79,100,7.02
175,Hoi An,VN,2022-05-17 03:19:21,15.8794,108.335,80.56,87,100,8.59
176,San Jeronimo,PE,2022-05-17 03:19:22,-11.9472,-75.2829,49.48,83,68,1.48
177,Sussex,US,2022-05-17 03:19:22,41.1834,-74.6663,61.07,71,100,13.8
178,Jizan,SA,2022-05-17 03:19:23,17.3333,42.6667,79.74,55,0,2.04
179,Talnakh,RU,2022-05-17 03:19:23,69.4865,88.3972,40.21,99,100,8.43
180,Upata,VE,2022-05-17 03:19:24,8.0086,-62.3989,75.2,91,75,6.38
181,Pulsano,IT,2022-05-17 03:19:25,40.3821,17.3564,65.82,79,9,1.01
182,Santa Cruz,BO,2022-05-17 03:19:25,-17.8,-63.1667,63.86,55,75,17.27
183,Nanortalik,GL,2022-05-17 03:20:26,60.1432,-45.2371,37.67,83,92,3.98
184,Praia Da Vitoria,PT,2022-05-17 03:20:26,38.7333,-27.0667,56.75,82,20,21.12
185,Sioux Lookout,CA,2022-05-17 03:15:27,50.1001,-91.917,37.47,87,20,0.0
186,Ngunguru,NZ,2022-05-17 03:20:27,-35.6167,174.5,70.39,71,97,12.01
187,Victoria,HK,2022-05-17 03:16:49,22.2855,114.1577,78.96,69,45,1.99
188,Lashio,MM,2022-05-17 03:15:55,22.9333,97.75,80.29,65,84,1.39
189,Faanui,PF,2022-05-17 03:20:28,-16.4833,-151.75,81.99,69,32,13.98
190,Havoysund,NO,2022-05-17 03:15:41,70.9963,24.6622,36.23,69,100,24.83
191,Tiksi,RU,2022-05-17 03:20:28,71.6872,128.8694,27.18,93,100,15.41
192,Puerto Ayora,EC,2022-05-17 03:20:29,-0.7393,-90.3518,72.55,96,40,4.32
193,Rancho Palos Verdes,US,2022-05-17 03:20:29,33.7445,-118.387,65.91,78,0,9.22
194,Isabela,PH,2022-05-17 03:20:30,6.7085,121.9711,86.05,72,92,6.17
195,Broome,US,2022-05-17 03:20:30,42.2506,-75.833,53.67,81,75,8.05
196,Newport,GB,2022-05-17 03:17:52,51.5877,-2.9984,56.25,91,35,6.93
197,Avera,US,2022-05-17 03:20:31,33.194,-82.5271,74.71,69,44,2.55
198,Julio De Castilhos,BR,2022-05-17 03:20:32,-29.2269,-53.6817,45.18,79,100,13.87
199,Selikhino,RU,2022-05-17 03:20:32,50.3672,137.4996,56.86,38,99,15.08
200,Dikson,RU,2022-05-17 03:20:33,73.5069,80.5464,33.12,100,100,3.98
201,Bogorodskoye,RU,2022-05-17 03:20:33,56.55,37.8833,44.29,98,100,9.46
202,Geraldton,AU,2022-05-17 03:20:34,-28.7667,114.6,72.01,64,40,5.75
203,Sitka,US,2022-05-17 03:20:34,57.0531,-135.33,48.09,66,100,13.8
204,Tateyama,JP,2022-05-17 03:20:35,34.9833,139.8667,66.09,85,100,2.57
