City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
298,La Palma,US,33.8464,-118.0467,71.87,74,75,11.5,broken clouds,2022-05-20 21:02:21
299,Borzya,RU,50.3833,116.5167,50.56,38,8,6.17,clear sky,2022-05-20 21:02:22
300,Ketchikan,US,55.3422,-131.6461,62.58,50,1,4.47,clear sky,2022-05-20 20:59:14
301,Denpasar,ID,-8.65,115.2167,80.26,88,40,1.14,scattered clouds,2022-05-20 21:00:08
302,Moratuwa,LK,6.773,79.8816,78.19,88,47,8.63,scattered clouds,2022-05-20 21:02:23
303,Talnakh,RU,69.4865,88.3972,40.23,83,100,8.43,overcast clouds,2022-05-20 21:02:23
304,Latung,PH,5.5,120.8833,82.4,77,100,4.81,light rain,2022-05-20 21:02:24
305,Touros,BR,-5.1989,-35.4608,79.18,81,81,7.61,broken clouds,2022-05-20 21:02:24
306,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,92,75,16.11,broken clouds,2022-05-20 21:02:25
307,Palmer,US,42.1584,-72.3287,77.38,56,19,8.99,few clouds,2022-05-20 21:02:25
308,Vostok,RU,46.4856,135.8833,53.01,69,57,4.59,broken clouds,2022-05-20 21:02:25
309,Topolobampo,MX,25.6,-109.05,81.1,48,0,13.06,clear sky,2022-05-20 21:02:26
310,Sumbe,AO,-11.2061,13.8437,72.28,86,2,5.61,clear sky,2022-05-20 21:02:27
311,Garowe,SO,8.4054,48.4845,86.49,43,71,23.06,broken clouds,2022-05-20 21:02:27
312,Kavieng,PG,-2.5744,150.7967,81.99,78,93,10.85,overcast clouds,2022-05-20 21:02:28
313,Poya,NC,-21.35,165.15,76.37,87,55,11.16,broken clouds,2022-05-20 21:02:28
314,Bonavista,CA,48.6499,-53.1147,43.36,73,100,5.68,overcast clouds,2022-05-20 21:02:29
315,Isangel,VU,-19.55,169.2667,78.69,84,88,21.39,overcast clouds,2022-05-20 21:02:29
316,Chapais,CA,49.7834,-74.8492,65.39,59,100,17.49,overcast clouds,2022-05-20 21:02:29
317,Tabuk,PH,17.4189,121.4443,73.4,90,99,2.53,overcast clouds,2022-05-20 21:02:30
318,Bandarbeyla,SO,9.4942,50.8122,80.42,85,100,21.54,overcast clouds,2022-05-20 21:02:30
319,La Trinidad,PH,16.455,120.5875,62.55,91,100,1.54,overcast clouds,2022-05-20 21:02:31
320,Marion,US,39.7684,-86.1555,88.48,49,58,19.57,broken clouds,2022-05-20 20:57:50
321,Lata,PT,40.1629,-8.3327,71.13,52,100,1.21,overcast clouds,2022-05-20 21:02:31
322,Langsa,ID,4.4683,97.9683,76.08,95,86,1.66,overcast clouds,2022-05-20 21:03:32
323,Sal Rei,CV,16.1833,-22.9167,71.2,85,84,19.19,broken clouds,2022-05-20 21:03:32
324,Sisimiut,GL,66.9395,-53.6735,38.95,54,100,6.08,overcast clouds,2022-05-20 21:03:33
325,Sorland,NO,67.667,12.6934,46.26,98,100,11.63,overcast clouds,2022-05-20 21:03:33
326,Tura,IN,25.5198,90.2201,71.67,97,92,1.79,moderate rain,2022-05-20 21:03:34
327,Mkushi,ZM,-13.6202,29.3939,66.52,60,100,3.0,overcast clouds,2022-05-20 21:03:34
328,Proletariy,RU,58.4342,31.7046,42.98,59,100,7.11,overcast clouds,2022-05-20 21:03:34
329,West Wendover,US,40.7391,-114.0733,53.55,21,69,11.39,broken clouds,2022-05-20 21:03:35
330,Caibarien,CU,22.5206,-79.4669,86.2,66,29,10.16,scattered clouds,2022-05-20 21:03:35
331,Eyl,SO,7.9803,49.8164,81.23,76,30,19.86,scattered clouds,2022-05-20 21:03:36
332,Bereda,ES,43.2686,-7.5406,59.58,96,95,5.01,overcast clouds,2022-05-20 21:03:36
333,Puerto Madero,MX,14.7208,-92.4215,86.2,70,75,9.22,broken clouds,2022-05-20 21:03:37
334,Machali,CL,-34.1833,-70.6667,58.28,62,64,4.29,broken clouds,2022-05-20 21:03:37
335,Kiama,AU,-34.6833,150.8667,61.0,92,94,3.0,overcast clouds,2022-05-20 21:03:38
336,Porto Murtinho,BR,-21.6989,-57.8825,66.6,46,0,2.91,clear sky,2022-05-20 21:03:38
