City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
609,Itoman,JP,75.22,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
614,Tamandare,BR,77.25,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
616,Venice,US,88.99,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
620,Lingao,CN,75.6,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
621,Bosaso,SO,86.22,few clouds,11.2842,49.1816,Red Sea Hotel
626,Qom,IR,81.9,overcast clouds,34.6401,50.8764,Qom Hotel
629,Mantua,IT,76.24,scattered clouds,45.1667,10.7833,Hotel la Favorita
631,Chabahar,IR,85.06,clear sky,25.2919,60.643,هتل گدروشیا
635,Lubao,PH,77.05,overcast clouds,14.9167,120.55,Hacienda Gracia
638,Empalme,MX,87.35,clear sky,27.9667,-110.8167,Casa de la mary
639,Nieuw Amsterdam,SR,82.56,broken clouds,5.8833,-55.0833,Hotel Stardust
641,Gizo,SB,82.35,light rain,-8.103,156.8419,Imagination Island
642,Blacksburg,US,91.8,clear sky,37.2296,-80.4139,Hilton Garden Inn Blacksburg University
650,Broome,US,77.77,overcast clouds,42.2506,-75.833,Chenango Valley State Park
651,Alappuzha,IN,79.27,broken clouds,9.49,76.3264,Panoramic Sea Resort
664,Gurun,MY,78.01,broken clouds,5.8172,100.4738,The Jerai Hill Resort
667,Kalaikunda,IN,86.05,broken clouds,22.35,87.25,Hotel Capsicum
668,Ca Mau,VN,79.52,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
675,Itarema,BR,78.48,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
678,Sadao,TH,78.62,overcast clouds,6.6388,100.4234,Banana Resort Sadao
682,Banda Aceh,ID,80.38,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
685,Padang,ID,76.95,scattered clouds,-0.9492,100.3543,Mercure Padang
